"name","ok","message"
"heatmap",TRUE,""
"focused_heatmap",TRUE,""
"dot",TRUE,""
"tile",TRUE,""
"source_target_dot",TRUE,""
"source_target_tile",TRUE,""
"sample_dot",TRUE,""
"bubble",TRUE,""
"bubble_lr",TRUE,""
"pathway_bubble",TRUE,""
"ligand_target",TRUE,""
"circle",TRUE,""
"circle_focused",TRUE,""
"chord",TRUE,""
"gene_chord",TRUE,""
"pathway",TRUE,""
"individual_lr",TRUE,""
"individual",TRUE,""
"individual_outgoing",TRUE,""
"individual_incoming",TRUE,""
"arrow",TRUE,""
"sigmoid",TRUE,""
"bipartite",TRUE,""
"diffusion",FALSE,"""plot_type = 'diffusion'"" has no direct R backend in scop; use
""plot_type = 'circle'"" or ""plot_type = 'diff_network'"""
"bar",TRUE,""
"sankey",TRUE,""
"box",TRUE,""
"violin",TRUE,""
"role_scatter",TRUE,""
"pathway_summary",TRUE,""
"comparison",TRUE,""
"lr_contribution",TRUE,""
"scatter",TRUE,""
