"fun","plot_type","ok","class","message"
"CCCHeatmap","heatmap",TRUE,"patchwork|wrapped_patch|patch|ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","focused_heatmap",TRUE,"patchwork|wrapped_patch|patch|ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","dot",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","matrix_dot",FALSE,"rlang_error|error|condition","""plot_type = 'matrix_dot'"" has been removed. Use ""plot_type = 'dot'"" for
the OV-style interaction dot plot."
"CCCHeatmap","tile",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","source_target_dot",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","source_target_tile",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","sample_dot",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","bubble",TRUE,"patchwork|wrapped_patch|patch|ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","bubble_lr",TRUE,"patchwork|wrapped_patch|patch|ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","pathway_bubble",TRUE,"patchwork|wrapped_patch|patch|ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","ligand_target",TRUE,"patchwork|wrapped_patch|patch|ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCHeatmap","role_heatmap",FALSE,"rlang_error|error|condition","`plot_type` = ""role_heatmap"" is currently only supported for CellChat
results"
"CCCHeatmap","role_network",FALSE,"rlang_error|error|condition","`plot_type` = ""role_heatmap"" is currently only supported for CellChat
results"
"CCCHeatmap","role_network_marsilea",FALSE,"rlang_error|error|condition","`plot_type` = ""role_heatmap"" is currently only supported for CellChat
results"
"CCCHeatmap","diff_heatmap",FALSE,"rlang_error|error|condition","`plot_type` = ""diff_heatmap"" is currently only supported for CellChat
results"
"CCCNetworkPlot","circle",TRUE,"recordedplot",""
"CCCNetworkPlot","circle_focused",TRUE,"recordedplot",""
"CCCNetworkPlot","chord",TRUE,"recordedplot",""
"CCCNetworkPlot","lr_chord",TRUE,"recordedplot",""
"CCCNetworkPlot","gene_chord",TRUE,"recordedplot",""
"CCCNetworkPlot","pathway",TRUE,"recordedplot",""
"CCCNetworkPlot","individual_lr",TRUE,"recordedplot",""
"CCCNetworkPlot","individual",TRUE,"recordedplot",""
"CCCNetworkPlot","individual_outgoing",TRUE,"list",""
"CCCNetworkPlot","individual_incoming",TRUE,"list",""
"CCCNetworkPlot","arrow",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCNetworkPlot","sigmoid",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCNetworkPlot","bipartite",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCNetworkPlot","embedding_network",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCNetworkPlot","diff_network",FALSE,"rlang_error|error|condition","""plot_type = 'diff_network'"" is currently only supported for CellChat"
"CCCNetworkPlot","diffusion",FALSE,"rlang_error|error|condition","""plot_type = 'diffusion'"" has no direct R backend in scop; use
""plot_type = 'circle'"" or ""plot_type = 'diff_network'"""
"CCCStatPlot","bar",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","sankey",TRUE,"patchwork|wrapped_patch|patch|ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","box",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","violin",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","role_scatter",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","role_network",FALSE,"rlang_error|error|condition","`plot_type` = ""role_heatmap"" is currently only supported for CellChat
results"
"CCCStatPlot","role_network_marsilea",FALSE,"rlang_error|error|condition","`plot_type` = ""role_heatmap"" is currently only supported for CellChat
results"
"CCCStatPlot","pathway_summary",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","comparison",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","lr_contribution",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","gene",FALSE,"simpleError|error|condition","object 'bundle' not found"
"CCCStatPlot","ranknet",FALSE,"rlang_error|error|condition","`plot_type` = ""ranknet"" is currently only supported for CellChat results"
"CCCStatPlot","scatter",TRUE,"ggplot2::ggplot|ggplot|ggplot2::gg|S7_object|gg",""
"CCCStatPlot","role_change",FALSE,"rlang_error|error|condition","`plot_type` = ""role_change"" is currently only supported for CellChat
results"
